company,website,industry,score,hiring_signal,revops_maturity_gap,notes,source
Danaher,https://jobs.danaher.com/global/en,Industrial Manufacturing,65,Large commercial organization and recurring hiring activity,Complex revenue motion likely benefits from pipeline visibility and sales systems support,Strong industrial and leadership fit,Local Seed Companies | Approved Company Targets
HubSpot,https://www.hubspot.com/careers,Sales Technology,65,Strong GTM and sales operations footprint,"Good fit for systems, CRM, and sales visibility language",Strong software and systems fit,Local Seed Companies | Approved Company Targets
Apollo.io,https://www.apollo.io/careers,Sales Technology,65,"Prospecting, outbound, and sales hiring relevance",High relevance for prospecting systems and outbound intelligence,Very high fit for Sales Navigator and Apollo positioning,Local Seed Companies | Approved Company Targets
3M,https://www.3m.com/3M/en_US/careers-us/,Industrial Manufacturing,65,Large commercial and technical organization,Good fit for sales systems and account strategy narrative,Tier-1 industrial target,Approved Company Targets
Siemens,https://www.siemens.com/global/en/home/company/jobs.html,Industrial Manufacturing,65,Scaled global sales and technical teams,Commercial systems maturity opportunity,Tier-1 industrial target,Approved Company Targets
Monday.com,https://monday.com/careers,Sales Technology,65,Sales and platform growth,Good fit for workflow and systems story,Tier-1 SaaS target,Approved Company Targets
Thermo Fisher Scientific,https://jobs.thermofisher.com,Pharmaceutical Manufacturing,50,Large technical and commercial hiring footprint,Cross-functional complexity creates strong systems need,Good fit for regulated-market operations and process discipline,Local Seed Companies | Approved Company Targets
Emerson Electric,https://www.emerson.com/en-us/careers,Industrial Manufacturing,50,Enterprise industrial sales motion,Strong need for commercial visibility in complex B2B motions,St. Louis-region relevance,Approved Company Targets
Parker Hannifin,https://www.parker.com/us/en/careers.html,Industrial Equipment,50,Large industrial field and account teams,Potential whitespace for strategic account and systems execution,Tier-1 industrial target,Approved Company Targets
Honeywell,https://careers.honeywell.com,Industrial Manufacturing,50,Scaled commercial organization,Strong enterprise systems context,Tier-1 industrial target,Approved Company Targets
GE Healthcare,https://careers.gehealthcare.com,Pharmaceutical Manufacturing,50,Healthcare and enterprise sales hiring,Good fit for process and visibility narrative,Tier-1 regulated-market target,Approved Company Targets
ZoomInfo,https://www.zoominfo.com/company/careers,Sales Technology,50,Large GTM and sales intelligence footprint,Strong fit for prospect intelligence positioning,Tier-1 SaaS target,Approved Company Targets
Ramp,https://ramp.com/careers,AI Software,50,Rapid GTM scaling signals,Likely strong systems and process demand,Tier-1 growth SaaS target,Approved Company Targets
Rippling,https://www.rippling.com/careers,AI Software,50,Growing GTM organization,Potential strong fit for systems-builder story,Tier-1 growth SaaS target,Approved Company Targets
